Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,BALL LOST,,1,50708,2028.32,50713,2028.52,Player23,,0.84,0.37,0.83,0.36
Away,PASS,,1,51608,2064.32,51648,2065.92,Player20,Player18,0.18,0.59,0.19,0.37
Away,PASS,,1,51763,2070.52,51793,2071.72,Player18,Player23,0.41,0.22,0.53,0.07
Away,PASS,,1,51796,2071.84,51821,2072.84,Player23,Player24,0.53,0.07,0.63,0.23
Away,PASS,,1,51824,2072.96,51842,2073.68,Player24,Player18,0.63,0.22,0.62,0.29
Away,PASS,,1,51911,2076.44,51931,2077.24,Player18,Player22,0.75,0.44,0.8,0.62
Away,BALL OUT,,1,52000,2080.0,52015,2080.6,Player22,,0.94,0.68,1.01,0.62
Away,PASS,HEAD,1,52696,2107.84,52746,2109.84,Player17,Player18,0.49,0.39,0.45,0.23
Away,PASS,,1,52784,2111.36,52807,2112.28,Player18,Player21,0.47,0.17,0.51,0.32
Away,PASS,,1,52871,2114.84,52936,2117.44,Player21,Player19,0.52,0.31,0.79,0.89
Away,PASS,,1,52941,2117.64,52971,2118.84,Player19,Player23,0.79,0.9,0.85,0.73
Away,PASS,,1,53027,2121.08,53045,2121.8,Player23,Player24,0.89,0.64,0.92,0.46
Away,PASS,,1,54891,2195.64,54921,2196.84,Player17,Player23,0.3,0.26,0.46,0.46
Away,PASS,,1,54948,2197.92,54985,2199.4,Player23,Player22,0.46,0.44,0.6,0.1
Away,BALL LOST,THEFT,1,55076,2203.04,55077,2203.08,Player22,,0.78,0.27,0.78,0.28
